© COELO, Groningen			OZB										Afvalstoffenheffing					Rioolheffing huishoudens				Rioolheffing bedrijven																	Woonlasten		Woonlasten							Toeristenbelasting			Hondenbelasting		Leges			Leges							
Provinciecode	Gemeente code	Gemeentenaam	Tarief woningen	Mutatie Tarief woningen	Tarief eigenaar niet-woning	Mutatie Tarief eigenaar niet-woning	Tarief gebruiker niet-woning	Mutatie Tarief gebruiker niet-woning	Tarief niet-woning eigenaar+gebruiker	Mutatie Tarief niet-woning eigenaar+gebruiker	Gemiddeld betaalde ozb woningen		Eénpersoonshuishouden	Mutatie Eénpersoonshuishouden	Meerpersoonshuishouden	Mutatie Meerpersoonshuishouden		Eénpersoonshuishouden	Mutatie Eénpersoonshuishouden	Meerpersoonshuishouden	Mutatie Meerpersoonshuishouden	Waterverbruik 100 m3	Mutatie Waterverbruik 100 m3	waterverbruik 200 m3	Mutatie waterverbruik 200 m3	Waterverbruik 300 m3	Mutatie Waterverbruik 300 m3	Waterverbruik 400 m3	Mutatie Waterverbruik 400 m3	Waterverbruik 500 m4	Mutatie Waterverbruik 500 m4	Waterverbruik 2100 m3	Mutatie Waterverbruik 2100 m3	Waterverbruik 2500 m3	Mutatie Waterverbruik 2500 m3	Waterverbruik 6000 m3	Mutatie Waterverbruik 6000 m3	Waterverbruik 30.000 m3	Mutatie Waterverbruik 30.000 m3		Heffingskorting éénpersoonshuishouden	Heffingskorting meerpersoonshuishouden	Woonlasten éénpersoonshuishouden	Mutatie Woonlasten éénpersoonshuishouden	Woonlasten meerpersoonshuishouden	Mutatie Woonlasten meerpersoonshuishouden		Toeristenbelasting overnachting camping	Toeristenbelasting hotelovernachting	Mutatie Toeristenbelasting hotelovernachting	Hondenbelasting	Mutatie Hondenbelasting	Parkeerbelasting	Mutatie Parkeerbelasting		Paspoort	Mutatie Paspoort	Identiteitskaart	Mutatie Identiteitskaart	Rijbewijs	Mutatie Rijbewijs	Uittreksel BRP	Mutatie Uittreksel BRP
			%	%	%	%	%	%			euro		euro	%	euro	%		euro	%	euro	%	euro	%	euro	%	euro	%	euro	%	euro	%	euro	%	euro	%	euro	%	euro	%		euro	euro	euro	%	euro	%		euro	euro	%	euro	%		%		euro	%	euro	%	euro	%	euro	%
2	0093	Terschelling	0.088	14.86	0.375	23.17	0.295	37.27	0.67	29	440.05		242.21	12.33	242.21	12.33		190.5	5.83	190.5	5.83	381	111.65	438	85.19	552	57.94	666	44	780	35.53	2604	9.25	3060	7.92	7050	3.82	34410	1.47		0	0	872.76	12.07	872.76	12.07		2.1	2.1	9.38	0	0	0	0		83.87	7.82	75.8	7.81	43.17	16.52	4.56	9.35
2	0737	Tytsjerksteradiel	0.1499	4.06	0.3158	0.69	0.2731	2.32	0.5889	1.44	504.48		197.4	1.86	282	1.73		145.2	2.54	161.4	2.28	190.8	2.58	190.8	2.58	190.8	2.58	190.8	2.58	190.8	2.58	190.8	2.58	190.8	2.58	190.8	2.58	190.8	2.58		0	0	847.08	3.28	947.88	3.05		1.5	1.5	0	0	0	0	0		83.85	7.85	75.8	7.82	51.1	14.45	16.6	5.73
2	0096	Vlieland	0.06616	4.16	0.21419	5.46	0.20314	4	0.41733	4.75	353.46		266	4.31	355	4.41		115.76	4.99	173.64	4.99	115.76	4.99	231.52	4.99	347.28	4.99	463.04	4.99	578.8	4.99	3457.26	4.84	3457.26	4.84	6914.52	4.92	34572.6	4.98		0	0	735.22	4.34	882.1	4.42		2.2	2.2	4.27	86.71	4.42	0	0		83	7.79	75	7.14	51.1	14.45	0	0
2	1949	Waadhoeke	0.118	9.93	0.2424	9.86	0.1706	11.85	0.413	10.68	343.19		250.4	-0.32	313	-0.32		263.2	10.03	329	10.03	460.6	10.03	460.6	10.03	460.6	10.03	460.6	10.03	460.6	10.03	460.6	10.03	460.6	10.03	460.6	10.03	460.6	10.03		0	0	856.79	6.75	985.19	6.48		0	0	0	0	0	1.2	0		83.85	7.71	75.8	7.75	51.1	14.45	9.3	0
2	0098	Weststellingwerf	0.09	3.54	0.2204	5.76	0.2148	5.97	0.4352	5.86	328.79		199	3.11	299	3.1		191.06	0	191.06	0	382.12	100	382.12	100	382.12	100	382.12	100	382.12	100	382.12	100	382.12	100	382.12	100	382.12	100		0	0	718.85	2.46	818.85	2.53		2.11	5.48	3.83	0	0	0	0		83.85	7.68	75.8	7.7	51.1	14.45	8.9	2.89
3	1680	Aa en Hunze	0.0933	2.41	0.2271	7.39	0.1026	4.75	0.3297	6.55	369.84		198.75	6	265	6		165	2.48	165	2.48																				0	0	733.59	3.37	799.84	3.59		1.25	1.25	0	0	0	0	0		83.85	7.85	75.8	7.82	51.1	14.45	9	4.05
3	0106	Assen	0.1456	10.02	0.4645	8.28	0.3763	8.5	0.8408	8.38	492.75		192.74	1	266.98	0.83		179.37	3.98	179.37	3.98	179.37	3.98	179.37	3.98	179.37	3.98	179.37	3.98	179.37	3.98	1795.37	8.12	2199.37	8.21	5734.37	8.45	29574.37	8.7		0	0	864.86	6.61	939.1	6.09		1.5	1.5	3.45	0	0	2.5	4.17		83.87	7.71	75.8	7.7	51.11	14.47	20.57	5.7
3	1681	Borger-Odoorn	0.1592	3.27	0.1592	2.37	0.1302	0.52	0.2894	1.53	542.89		197.63	7.34	238.07	6.02		264.83	-0.45	264.83	-0.45																				0	0	1005.35	3.02	1045.79	2.9		1.3	1.75	0	0	0	0	0		83.85	7.71	75.5	7.32	51.1	14.45	10	2.56
3	0109	Coevorden	0.139	3.56	0.2292	7.19	0.191	7.19	0.4202	7.19	482.88		269.22	5.95	324.29	5.95		228.5	3.03	228.5	3.03																				0	0	980.6	4.08	1035.67	4.18		1.35	1.35	0	0	0	0	0		83.85	7.71	75.8	7.75	51.1	14.45	9.85	3.68
3	1690	De Wolden	0.0859	2.38	0.2034	2.34	0.1666	3.63	0.37	2.91	390.98		171.07	15.65	241.46	15.22		211.92	0.63	236.04	0.67	236.04	0.67	236.04	0.67	354.06	0.67	472.08	0.67	588.08	0.53	2444.08	0.13	2908.08	0.11	5843.08	0.48	8733.08	0.9		0	0	773.97	4.53	868.48	5.15		1.21	1.21	0	0	0	0	0		83.85	7.71	75.8	7.75	51.1	14.45	11.25	3.21
3	0114	Emmen	0.1369	1	0.3402	3.1	0.2762	0.46	0.6164	1.9	414.2		252.23	0	284.45	0		235.69	9.32	235.69	9.32																				0	0	902.12	2.76	934.34	2.66		1.65	1.65	3.12	0	0	2.26	0		83.85	7.71	75.8	7.75	51.1	14.45	13.85	2.21
3	0118	Hoogeveen	0.1446	4.6	0.3289	-3.67	0.2506	-2.41	0.5795	-3.13	476.75		204.12	0	286.8	0		159.1	3.08	159.1	3.08																				0	0	839.97	3.16	922.65	2.87		1.5	1.5	0	0	0	1.9	2.7		83.85	7.71	75.5	7.32	51.1	14.45	11.25	3.21
3	0119	Meppel	0.114	14.11	0.446	19.55	0.327	17.57	0.773	18.71	420.77		218	2.83	218	2.83		183	3.39	183	3.39	183	3.39	183	3.39	183	3.39	183	3.39	183	3.39	183	3.39	183	3.39	183	3.39	183	3.39		0	0	821.77	8.45	821.77	8.45		0	0	0	0	0	2.05	5.13		83.85	7.71	75.8	7.75	51.1	14.45	12.15	3.4
3	1731	Midden-Drenthe	0.0976	8.57	0.256	8.08	0.2049	8.05	0.4609	8.06	366.69		193.55	5.45	238.55	4.38		238.5	0	238.5	0	238.5	0	238.5	0	238.5	0	238.5	0	238.5	0	830.5	0	978.5	0	2273.5	0	9553.5	0		0	0	798.74	5.12	843.74	4.84		1.55	1.55	19.23	0	0	0	0		83.85	7.71	75.8	7.75	51.1	14.45	9.05	1.69
3	1699	Noordenveld	0.09519	4.4	0.09519	6.7	0.15184	14.21	0.24703	11.19	396.75		240.2	11.1	281.35	9.33		297.56	7.5	297.56	7.5																				0	0	934.51	7.04	975.66	6.72		1.1	1.75	0	0	0	0	0		83.85	7.71	75.8	7.75	51.1	14.45	7.55	2.72
3	1701	Westerveld	0.0945	-0.45	0.1947	2.2	0.1293	2.58	0.324	2.35	421.3		207.94	1.93	301.88	-2.62		219.55	-1.88	219.55	-1.88																				0	0	848.79	-0.25	942.73	-1.49		1.35	1.9	5.56	0	0	0	0		83.85	7.85	75.8	7.82	51.1	14.45	8.4	3.07
3	1730	Tynaarlo	0.0832	3.27	0.1745	2.18	0.1095	2.21	0.284	2.19	381.24		188.38	25.27	221.76	20.68		188.9	7.41	188.9	7.41	188.9	7.41	188.9	7.41	188.9	7.41	366.09	7.41	366.09	7.41	1660.77	7.41	2092.33	7.41	5868.48	7.41	26502.42	7.41		0	0	758.52	9.07	791.9	8.66		1.15	1.5	0	0	0	0	0		83.85	7.71	75.8	7.75	51.1	14.45	17	-18.27
4	0141	Almelo	0.1183	4.27	0.3966	-3.09	0.3071	-3.86	0.7037	-3.42	421.53		263.52	2	287.28	2		310.92	3.66	332.52	3.65	455.16	3.67	455.16	3.67	506.16	3.65	557.16	3.64	608.16	3.63	1373.16	3.58	1628.16	3.57	3413.16	3.55	15653.16	3.54		0	0	995.97	3.47	1041.33	3.44		1	1.65	6.45	0	0	2.28	0		83.87	7.71	75.8	7.7	48.15	7.84	23.8	14.98
4	0147	Borne	0.1374	11.25	0.4507	8.91	0.3529	7.01	0.8036	8.07	611.92		191	1.84	219.99	3.24		217.68	16.36	217.68	16.36	217.68	16.36	217.68	16.36	217.68	16.36	217.68	16.36	217.68	16.36	1088.4	17.14	1088.4	17.14	2612.16	17.25	13060.8	17.32		0	0	1020.6	10.38	1049.59	10.46		0	0	0	0	0	0	0		83.87	7.71	75.8	7.7	51.1	14.45	10.4	13.04
4	0148	Dalfsen	0.0985	10.83	0.2312	2.81	0.2211	1.39	0.4523	2.11	472.25		229.08	2.44	258.16	2.34		143.45	3.42	143.45	3.42	143.45	3.42	143.45	3.42	143.45	3.42	143.45	3.42	143.45	3.42	733.35	3.15	733.35	3.15	2163.35	2.97	7923.35	3.29		0	0	844.78	7.15	873.86	6.95		0.95	1.45	3.57	0	0	0	0		83.85	7.71	75.8	7.75	51.1	14.45	7.95	2.58
4	1774	Dinkelland	0.0993	1.37	0.2804	6.43	0.2236	7.32	0.504	6.82	463.09		185.63	37.88	213.26	31.43		280.6	5.65	280.6	5.65	280.6	5.65	280.6	5.65	280.6	5.65	301.9	5.23	323.2	4.87	664	-81.93	749.2	-82.06	1494.7	-64.22	6606.7	58.17		26	26	903.32	5.4	930.95	5.23		0.6	1.6	0	0	0	0	0		83.5	7.74	75	11.11	48.15	13.29	6.5	8.33
4	0150	Deventer	0.1083	4.22	0.3917	3.72	0.2738	-2.34	0.6655	1.14	460.32		246.01	2.5	287.9	2.13		191.64	5.97	191.64	5.97	191.64	5.97	191.64	5.97	191.64	5.97	191.64	5.97	191.64	5.97	708	5.83	708	5.83	1668	5.9	3705	5.92		0	0	897.97	4.11	939.86	3.92		0.54	1.83	7.65	0	0	3.33	11		83.87	7.71	75.8	7.82	51.11	22.86	15.95	7.77
4	0153	Enschede	0.1082	4.2	0.4793	1.8	0.3836	1.21	0.8629	1.54	414.17		279.79	10.58	306.5	9.57		292.44	3.88	292.44	3.88	292.44	3.88	292.44	3.88	292.44	3.88	292.44	3.88	292.44	3.88	772.44	3.61	892.44	3.59	1942.44	3.51	8065.23	9.86		0	0	986.4	5.84	1013.11	5.67		1.1	2.9	3.57	93.6	3.86	3.75	13.64		83.87	7.71	75.8	7.7	51.1	14.45	19	4.97
4	0158	Haaksbergen	0.1141	6.89	0.3396	5.93	0.2609	5.86	0.6005	5.9	486.77		229.32	2.03	229.32	2.03		379.32	8.92	379.32	8.92	379.32	8.92	379.32	8.92	379.32	8.92	379.32	8.92	379.32	8.92	1239.48	8.93	1239.48	8.93	2744.76	8.93	13066.68	8.94		0	0	1095.41	6.52	1095.41	6.52		1.2	1.7	3.03	0	0	0	0		83.87	7.71	75.8	7.7	51.1	14.45	8.1	3.85
4	0160	Hardenberg	0.0856	2.29	0.2894	4.79	0.2494	4.91	0.5388	4.84	321.92		211.48	1.44	252.95	1.2		289	4.33	289	4.33	289	4.33	289	4.33	289	4.33	289	4.33	289	4.33	1797	4.17	1797	4.17	2424	4.12	7440	4.03		0	0	822.4	2.77	863.87	2.64		1.05	1.05	0	0	0	1.15	0		83.85	7.71	75.8	7.75	51.1	14.45	13.7	4.58
4	0163	Hellendoorn	0.1028	4	0.306	4	0.2496	4.01	0.5556	4.01	458.14		267.6	7.47	267.6	7.47		262.8	7.51	262.8	7.51	262.8	7.51	262.8	7.51	262.8	7.51	262.8	7.51	262.8	7.51	2097.24	7.5	2097.24	7.5	5308.56	7.5	27329.04	7.51		0	0	988.54	5.85	988.54	5.85		0.82	1.96	2.62	0	0	0	0		83.85	7.71	75.8	7.75	51.1	14.45	13.8	7.39
4	0164	Hengelo	0.1147	9.91	0.4905	8.44	0.372	6.57	0.8625	7.63	436.04		231.13	1	267.75	0.86		267.96	3.91	267.96	3.91	267.96	3.91	267.96	3.91	267.96	3.91	267.96	3.91	267.96	3.91	2169.72	3.91	2169.72	3.91	5497.8	3.91	28318.92	3.91		0	0	935.13	5.85	971.75	5.62		0.85	1.2	4.35	88.32	0	2.1	10.53		83.87	7.71	75.8	7.7	51.11	14.47	18.6	5.08
